city_key,state,latitude,longitude,source
ABBEVILLE,AL,31.57184,-85.25049,geonames
ABBEVILLE,SC,34.17817,-82.37901,geonames
ABBOTSFORD,WI,44.94636,-90.31597,geonames
ABBOTT,TX,31.88488,-97.07334,geonames
ABERDEEN,MD,39.50956,-76.16412,geonames
ABERDEEN,SD,45.46470,-98.48648,geonames
ABILENE,KS,38.91722,-97.21391,geonames
ABILENE,TX,32.44874,-99.73314,geonames
ACCIDENT,MD,39.62870,-79.31976,geonames
ACWORTH,GA,34.06635,-84.67837,geonames
ADA,OK,34.77453,-96.67834,geonames
ADAIRSVILLE,GA,34.36870,-84.93411,geonames
ADAMS,MA,42.62425,-73.11760,geonames
ADAMS,WI,43.95608,-89.81818,geonames
ADDISON,IL,41.93170,-87.98896,geonames
ADEL,GA,31.13727,-83.42408,geonames
ADRIAN,MI,41.89755,-84.03717,geonames
ADRIAN,MN,43.63497,-95.93280,geonames
AFTON,OK,36.69369,-94.96302,geonames
AHOSKIE,NC,36.28682,-76.98468,geonames
AIKEN,SC,33.56042,-81.71955,geonames
AINSWORTH,IA,41.28891,-91.55238,geonames
AKRON,OH,41.08144,-81.51901,geonames
ALABASTER,AL,33.24428,-86.81638,geonames
ALAMOGORDO,NM,32.89953,-105.96027,geonames
ALAMOSA,CO,37.46945,-105.87002,geonames
ALBANY,GA,31.57851,-84.15574,geonames
ALBANY,KY,36.69090,-85.13468,geonames
ALBANY,NY,42.65258,-73.75623,geonames
ALBANY,OR,44.63651,-123.10593,geonames
ALBERT LEA,MN,43.64801,-93.36827,geonames
ALBION,MI,42.24310,-84.75303,geonames
ALBUQUERQUE,NM,35.08449,-106.65114,geonames
ALBURGH,VT,44.97504,-73.30013,geonames
ALDA,NE,40.87112,-98.46812,geonames
ALDEN,MN,43.67023,-93.57605,geonames
ALEDO,TX,32.69596,-97.60225,geonames
ALEXANDER,ND,47.84308,-103.64270,geonames
ALEXANDRIA,LA,31.31129,-92.44514,geonames
ALEXANDRIA,MN,45.88524,-95.37754,geonames
ALEXANDRIA,MO,40.35949,-91.45543,geonames
ALEXANDRIA,PA,40.55646,-78.09778,geonames
ALGODONES,NM,35.38059,-106.47919,geonames
ALGONA,IA,43.06997,-94.23302,geonames
ALICE,TX,27.75225,-98.06972,geonames
ALLEN,OK,34.87898,-96.41251,geonames
ALLENTOWN,PA,40.60843,-75.49018,geonames
ALLIANCE,NE,42.10163,-102.87215,geonames
ALMA,AR,35.47787,-94.22188,geonames
ALMA,GA,31.53937,-82.46236,geonames
ALMA,KS,39.01667,-96.28916,geonames
ALMA,MI,43.37892,-84.65973,geonames
ALMA,NE,40.09751,-99.36204,geonames
ALPHARETTA,GA,34.07538,-84.29409,geonames
ALPINE,WY,43.16353,-111.01802,geonames
ALSIP,IL,41.66892,-87.73866,geonames
ALTAMONT,IL,39.06199,-88.74811,geonames
ALTOONA,AL,34.02621,-86.32609,geonames
ALTOONA,IA,41.64416,-93.46466,geonames
ALTOONA,PA,40.51868,-78.39474,geonames
ALTOONA,WI,44.80468,-91.44321,geonames
