name_key,display_name,state,latitude,longitude,population
'A'ALA,'A'ala,HI,21.31544,-157.86283,4302
'AHUIMANU,‘Āhuimanu,HI,21.44472,-157.83778,8810
'AIEA,‘Aiea,HI,21.38222,-157.93361,9338
'AIEA HEIGHTS,‘Aiea Heights,HI,21.39083,-157.92053,5487
'EWA BEACH,‘Ewa Beach,HI,21.31556,-158.00722,16415
'EWA GENTRY,‘Ewa Gentry,HI,21.33999,-158.03039,22690
'EWA VILLAGES,‘Ewa Villages,HI,21.34127,-158.03970,6108
'OLNI,Olney,MD,39.15316,-77.06692,33844
12SAQUAH,Issaquah,WA,47.53010,-122.03262,36081
A BI LIN,Abilene,KS,38.91722,-97.21391,6558
A BI LIN,Abilene,TX,32.44874,-99.73314,125182
A BIN DENG,Abingdon,VA,36.70983,-81.97735,8119
A BO DING,Aberdeen,MD,39.50956,-76.16412,15580
A BO DING,Aberdeen,MS,33.82511,-88.54366,5397
A BO DING,Aberdeen,SD,45.46470,-98.48648,28102
A BO DING,Aberdeen,WA,46.97537,-123.81572,16276
A BO HU,Lake Arbor,MD,38.90789,-76.82969,9776
A BO KA,Apopka,FL,28.67617,-81.51186,48382
A BO LUO HAI TAN,Apollo Beach,FL,27.77308,-82.40759,14055
A BU KUI JI,Albuquerque,NM,35.08449,-106.65114,564559
A BU WEI ER,Abbeville,LA,29.97465,-92.13429,12434
A BU WEI ER,Abbeville,SC,34.17817,-82.37901,5191
A DE ER FEI,Adelphi,MD,39.00317,-76.97192,15086
A DE LAN TUO,Adelanto,CA,34.58277,-117.40922,33166
A DENG-A KAI DE,Arden-Arcade,CA,38.60250,-121.37854,92186
A DI XI YA,Artesia,CA,33.86585,-118.08312,16961
A DI XI YA,Artesia,NM,32.84233,-104.40330,12036
A ER BI EN,Albion,MI,42.24310,-84.75303,8229
A ER MA,Alma,AR,35.47787,-94.22188,5575
A ER PAI,Alpine,UT,40.45328,-111.77799,10235
A ER PAI EN,Alpine,CA,32.83505,-116.76641,14236
A ER PI NA,Alpena,MI,45.06168,-83.43275,10175
A ER TA DE NA,Altadena,CA,34.18973,-118.13118,42777
A ER TA DI NA,Altadena,CA,34.18973,-118.13118,42777
A ER TA MENG TE SI PU LIN SI,Altamonte Springs,FL,28.66111,-81.36562,43159
A ER TU NA,Altoona,IA,41.64416,-93.46466,16984
A ER TU NA,Altoona,PA,40.51868,-78.39474,45344
A FU ER DI GE LEI SI,Havre de Grace,MD,39.54928,-76.09162,13504
A GU LA,Agoura,CA,34.14306,-118.73787,20537
A HAN BU LA,Alhambra,CA,34.09529,-118.12701,85551
A HUI MA NU,‘Āhuimanu,HI,21.44472,-157.83778,8810
A JIA WAN,Agawam,MA,42.06954,-72.61481,28761
A KA DE ER FEI YA,Arkadelphia,AR,34.12093,-93.05378,10745
A KA DI YA,Arcadia,CA,34.13973,-118.03534,58408
A KE LUN,Akron,OH,41.08144,-81.51901,197542
A KE SI BU LI QI,Uxbridge,MA,42.07732,-71.62951,12614
A KE TA,Arcata,CA,40.86652,-124.08284,17843
A KEN SE CHENG,Arkansas City,KS,37.06197,-97.03837,12136
A KU SHEN NEI TE,Acushnet,MA,41.68066,-70.90782,10850
A LA BA SI TE,Alabaster,AL,33.24428,-86.81638,32707
A LA BO,Arab,AL,34.31815,-86.49582,8295
A LA MI DA,Alameda,CA,37.77099,-122.26087,78630
A LA MO,Alamo,CA,37.85020,-122.03218,14570
A LA MO SA,Alamosa,CO,37.46945,-105.87002,9819
A LA PA TA,Allapattah,FL,25.81454,-80.22394,54289
A LAI EN SI,Alliance,OH,40.91534,-81.10593,22055
A LIE YA,‘Aiea,HI,21.38222,-157.93361,9338
A LING DUN,Arlington,MA,42.41537,-71.15644,42844
A LING DUN,Arlington,TX,32.73569,-97.10807,388125
A LING DUN,Arlington,WA,48.19871,-122.12514,18949
A LING DUN XIAN,Arlington,VA,38.88101,-77.10428,207627
A LUN DUI,Allentown,PA,40.60843,-75.49018,120207
A LUO HA,Aloha,OR,45.49428,-122.86705,49425
A MA,Alma,MI,43.37892,-84.65973,9193
A MA LI LUO,Amarillo,TX,35.22200,-101.83130,198645
A MENG,Ammon,ID,43.46964,-111.96664,14960
A MO SI TE,Amherst,MA,42.36723,-72.51852,39833
A MO SI TE SEN TE,Amherst Center,MA,42.37537,-72.51925,19065
A MU HE SI TE,Amherst,MA,42.36723,-72.51852,39833
A MU SI TE DAN,Amsterdam,NY,42.93869,-74.18819,18008
A NA HAI MU,Anaheim,CA,33.83529,-117.91450,350742
A NA KANG DA,Anaconda,MT,46.12854,-112.94226,9417
A NA KE SI DI YA,Anacostia,DC,38.86650,-76.98386,11789
A NA KE TE SI,Anacortes,WA,48.51260,-122.61267,18103
A NUO DE,Arnold,MO,38.43283,-90.37762,21357
A NUO KA,Anoka,MN,45.19774,-93.38718,17350
A PA QI ZHANG KE SHEN,Apache Junction,AZ,33.41505,-111.54958,38074
A PU LAN,Upland,CA,34.09751,-117.64839,76443
A SE DUN,Atherton,CA,37.46133,-122.19774,7167
A SE GANG,Port Arthur,TX,29.88519,-93.94233,55340
A SEN SI,Athens,AL,34.80243,-86.97219,24966
A SEN SI,Athens,OH,39.32924,-82.10126,25044
A SHEN BEN,Ashburn,VA,39.04372,-77.48749,43511
A SHEN BO LEI,Asheboro,NC,35.70791,-79.81364,26103
A SHEN BO NA MU,Ashburnham,MA,42.63620,-71.90785,5643
A SHEN DUN-SANG DI SI PU LIN,Ashton-Sandy Spring,MD,39.14976,-77.00504,5628
A SHEN LAN,Ashland,CA,37.69465,-122.11385,21925
A SHEN LAN,Ashland,OH,40.86867,-82.31822,20317
A SHEN LAN,Ashland,OR,42.19458,-122.70948,20861
A SHEN TA BI LA,Ashtabula,OH,41.86505,-80.78981,18371
A SHEN WEI ER,Asheville,NC,35.60095,-82.55402,95056
A SI BO LI PA KE,Asbury Park,NJ,40.22039,-74.01208,15818
A SI PENG,Aspen,CO,39.19110,-106.81754,6882
A SI PENG XI ER,Aspen Hill,MD,39.07955,-77.07303,48759
A TA LA,Attalla,AL,34.02176,-86.08859,5899
A TA SI KA DE LUO,Atascadero,CA,35.48942,-120.67073,29819
A TE ER BO LEI,Attleboro,MA,41.94454,-71.28561,44284
A TE JIN SEN BAO WEI SI KANG XING ZHOU,Fort Atkinson,WI,42.92889,-88.83705,12426
A TE MO ER,Atmore,AL,31.02379,-87.49387,10049
A TE WO TE,Atwater,CA,37.34772,-120.60908,29237
A WA DA,Arvada,CO,39.80276,-105.08748,115368
A WEI NA ER,Avenal,CA,36.00412,-120.12903,13301
A WEN,Arvin,CA,35.20913,-118.82843,20876
A WEN TU LA,Aventura,FL,25.95648,-80.13921,37649
A ZU SA,Azusa,CA,34.13362,-117.90756,49690
